,id,name
0,0,Charles Tait
1,1,Urban Gad
2,2,Charles L. Gaskill
3,3,Francesco Bertolini
4,4, Adolfo Padovan
5,5,Sidney Olcott
6,6,Ernst Lubitsch
7,7,Enrico Guazzoni
8,8,Aristide Demetriade
9,9,AndrÃ© Calmettes
10,10, James Keane
11,11,August Blom
12,12,Louis Feuillade
13,13,Victor SjÃ6strÃ6m
14,14,Alfred Machin
15,15,D.W. Griffith
16,16,Paul Wegener
17,17, Stellan Rye
18,18,George Loane Tucker
19,19,Mario Caserini
20,20, Eleuterio Rodolfi
21,21,Francesca Bertini
22,22, Gustavo Serena
23,23,Reginald Barker
24,24,Giovanni Pastrone
25,25,James Kirkwood
26,26,LÃ©once Perret
27,27,Sidney Drew
28,28,Henrik Galeen
29,29, Paul Wegener
30,30,Benjamin Christensen
31,31,J. Farrell MacDonald
32,32,Lois Weber
33,33,Edward S. Curtis
34,34,Louis J. Gasnier
35,35, Donald MacKenzie
36,36,Oscar Apfel
37,37, Cecil B. DeMille
38,38,Edwin S. Porter
39,39,Mack Sennett
40,40, Charles Bennett
41,41,Michael Curtiz
42,42,Cecil B. DeMille
43,43,Maurice Tourneur
44,44,W.W. Young
45,45, Thomas H. Ince
46,46,Frank Powell
47,47,Christy Cabanne
48,48,Edgar Lewis
49,49,Yevgeny Bauer
50,50,Nino Oxilia
51,51,Raoul Walsh
52,52,George Melford
53,53,Stuart Paton
54,54,Chester M. Franklin
55,55, Sidney Franklin
56,56,Chester Withey
57,57,Allan Dwan
58,58,Charles Swickard
59,59, William S. Hart
60,60,John Emerson
61,61,Lloyd Ingraham
62,62,Paul Powell
63,63,Yakov Protazanov
64,64,William S. Hart
65,65,Arthur Berthelet
66,66,J. Searle Dawley
67,67,Phillips Smalley
68,68, Lois Weber
69,69,Ruth Ann Baldwin
70,70,John Ford
71,71,J. Gordon Edwards
72,72,Robert Wiene
73,73,Holger-Madsen
74,74, Joseph Levering
75,75,Marshall Neilan
76,76, Alexandre Volkoff
77,77,George Irving
78,78,Mauritz Stiller
79,79,Harry Davenport
80,80,William Desmond Taylor
81,81,Alexander Korda
82,82,Abel Gance
83,83,Sidney Franklin
84,84,Joseph Maxwell
85,85,F. Richard Jones
86,86, James Young
87,87,Walter Edwards
88,88,Albert Parker
89,89,Charles Chaplin
90,90,Scott Sidney
91,91,Richard Oswald
92,92,Enrique Rosas
93,93,David Hartford
94,94,Irvin Willat
95,95,Erich von Stroheim
96,96,Jerome Storm
97,97,Robert Z. Leonard
98,98,Fritz Lang
99,99,James Cruze
100,100,Joseph De Grasse
101,101,Otto Rippert
102,102,Carl Theodor Dreyer
103,103,Raymond Longford
104,104,Lambert Hillyer
105,105,Victor Fleming
106,106,Tod Browning
107,107,Hans Werckmeister
108,108,Jacques Feyder
109,109,John S. Robertson
110,110,J. Charles Haydon
111,111,Rasmus Breistein
112,112,Alan Crosland
113,113,F.W. Murnau
114,114,Carl Boese
115,115,Lawrence C. Windom
116,116,AndrÃ© Antoine
117,117,Marcel L'Herbier
118,118,Frank Borzage
119,119,Franz Osten
120,120,Clarence Brown
121,121, Maurice Tourneur
122,122,David Kirkland
123,123,Fred Niblo
124,124,Gunnar Sommerfeldt
125,125,Wallace Worsley
126,126,Herbert BlachÃ©¬ Winchell Smith
127,127,John Francis Dillon
128,128,Karl Heinz Martin
129,129,Oscar Micheaux
130,130,Max Linder
131,131,George D. Baker
132,132,Ray C. Smallwood
133,133,Rex Ingram
134,134,Maurice Campbell
135,135,Robert G. Vignola
136,136,Svend Gade
137,137, Heinz Schall
138,138,Leopold Jessner
139,139, Paul Leni
140,140,Joe May
141,141, Roscoe 'Fatty' Arbuckle
142,142,Alfred E. Green
143,143, Jack Pickford
144,144,Frances Marion
145,145,William C. de Mille
146,146,Albert Austin
147,147, Victor Heerman
148,148,Theodore Reed
149,149,Minoru Murata
150,150,Fred C. Newmeyer
151,151,Dimitri Buchowetzki
152,152,Lupu Pick
153,153,Henry King
154,154,Sam Wood
155,155, Dorothy Arzner
156,156,George Terwilliger
157,157, Sam Taylor
158,158,Elmer Clifton
159,159,Louis Delluc
160,160,Irving Cummings
161,161,Edward D. Venturini
162,162,Burton L. King
163,163,Rupert Julian
164,164, Erich von Stroheim
165,165,Emmett J. Flynn
166,166,Manfred Noa
167,167,Frank Lloyd
168,168,Charles Bryant
169,169, Alla Nazimova
170,170,Arthur Robison
171,171,Tom Forman
172,172,Lynn Reynolds
173,173,Germaine Dulac
174,174,Robert Thornby
175,175,Harry B. Parkinson
176,176,Phil Rosen
177,177,Ewald AndrÃ© Dupont
178,178,Jean Epstein
179,179,Harry Houdini
180,180,John G. Blystone
181,181, Buster Keaton
182,182, Raoul Walsh
183,183,Georg Wilhelm Pabst
184,184,Rupert Hughes
185,185,Karl Grune
186,186,Edward F. Cline
187,187,Leo Birinsky
188,188,Harry Beaumont
189,189,Lewis H. Moomaw
190,190, Mary Pickford
191,191,William A. Seiter
192,192,Jean Renoir
193,193,E. Mason Hopper
194,194,Alexandre Volkoff
195,195,Donald Crisp
196,196,Lev Kuleshov
197,197,Yuri Zhelyabuzhsky
198,198,Herbert Brenon
199,199,Buster Keaton
200,200,Sergei M. Eisenstein
201,201,Graham Cutts
202,202,King Vidor
203,203,Lotte Reiniger
204,204, Carl Koch
205,205, George W. Hill
206,206,Alan Hale
207,207,Noel M. Smith
208,208,Joseph Henabery
209,209,RenÃ© Clair
210,210,Pedro Sienna
211,211,Monta Bell
212,212,William Beaudine
213,213,David Butler
214,214,Harry O. Hoyt
215,215,Roland West
216,216,BuntarÃ4 Futagara
217,217,Clarence G. Badger
218,218, Lon Chaney
219,219,Wesley Ruggles
220,220,Alfred Hitchcock
221,221,Julien Duvivier
222,222, Himanshu Rai
223,223,Walter Lang
224,224, Dorothy Davenport
225,225,Edmund Goulding
226,226,Josef von Sternberg
227,227,Leander De Cordova
228,228, G.B. Samuelson
229,229,H.K. Breslauer
230,230,King Baggot
231,231,George B. Seitz
232,232,Larry Semon
233,233,George Chesebro
234,234, Bruce Mitchell
235,235,Malcolm St. Clair
236,236,George W. Hill
237,237,Arthur von Gerlach
238,238,James Young
239,239, Charles Brabin
240,240,Charles Reisner
241,241,William A. Wellman
242,242,Jack Conway
243,243,Paul Sloane
244,244,Sam Taylor
245,245,Howard Hawks
246,246,Richard Rosson
247,247, Lewis Milestone
248,248,Lewis Seiler
249,249,Arnold Fanck
250,250,Harry Edwards
251,251,A. Edward Sutherland
252,252,Frank Tuttle
253,253,Teinosuke Kinugasa
254,254,Guido Brignone
255,255,Vsevolod Pudovkin
256,256,Boris Barnet
257,257, Fyodor Otsep
258,258,Amo Bek-Nazaryan
259,259,Herbert Wilcox
260,260,Millard Webb
261,261,Grigoriy Kozintsev
262,262, Leonid Trauberg
263,263,Gregory La Cava
264,264,George Fitzmaurice
265,265, Tom McNamara
266,266,Frank Capra
267,267, Mauritz Stiller
268,268,Edward Sedgwick
269,269,Frank Urson
270,270,Ivan Pravov
271,271, Olga Preobrazhenskaya
272,272,Rowland V. Lee
273,273,Paul Leni
274,274, Josef von Sternberg
275,275,James W. Horne
276,276,Roy Del Ruth
277,277,Clyde Bruckman
278,278,Dorothy Arzner
279,279,Aleksandr Medvedkin
280,280,Maurice Elvey
281,281,Raymond Bernard
282,282,Ted Wilde
283,283, Harold Lloyd
284,284, Mikhail Doller
285,285, John Gilbert
286,286,William Nigh
287,287,Grigoriy Aleksandrov
288,288, Sergei M. Eisenstein
289,289,Alfred Santell
290,290,Roscoe 'Fatty' Arbuckle
291,291,Frank Peregini
292,292,William K. Howard
293,293,Anthony Asquith
294,294, A.V. Bramble
295,295, John M. Stahl
296,296,J.P. McGowan
297,297,Hobart Henley
298,298,Abram Room
299,299,Lewis Milestone
300,300,Harry A. Pollard
301,301, Arthur Rosson
302,302, Harry d'Abbadie d'Arrast
303,303,W.S. Van Dyke
304,304,Curtis Bernhardt
305,305, Clarence Brown
306,306,Nikoloz Shengelaia
307,307,Merian C. Cooper
308,308, Lothar Mendes
309,309,William Dieterle
310,310,Bryan Foy
311,311, Frank Lloyd
312,312,PÃ¡l FejÃ6s
313,313,Jean GrÃ©millon
314,314,Lloyd Bacon
315,315, Irvin Willat
316,316,Roy William Neill
317,317, Robert J. Flaherty
318,318,Fyodor Otsep
319,319,Aleksandr Dovzhenko
320,320,FloriÃ¡n Rey
321,321,Rouben Mamoulian
322,322,Mervyn LeRoy
323,323, Frank Tuttle
324,324,Alberto Cavalcanti
325,325, Henry Wulschleger
326,326,Robert Florey
327,327, Joseph Santley
328,328,YasujirÃ4 Ozu
329,329,John Cromwell
330,330, A. Edward Sutherland
331,331,Lothar Mendes
332,332,Gustav MachatÃ½
333,333,Edwin Carewe
334,334,Castleton Knight
335,335,Paul Czinner
336,336,Edgar Selwyn
337,337,William J. Cowen
338,338,William Wyler
339,339,Paul L. Stein
340,340,Howard Higgin
341,341, Christy Cabanne
342,342,Robert Land
343,343,George SchnÃ©evoigt
344,344,Jean de Limur
345,345,Lionel Barrymore
346,346,Robert Siodmak
347,347, Edgar G. Ulmer
348,348,Erle C. Kenton
349,349,Henri Fescourt
350,350,Phil Jutzi
351,351,Lucien Hubbard
352,352, Benjamin Christensen
353,353, Darryl F. Zanuck
354,354,Fridrikh Ermler
355,355, Richard Boleslawski
356,356,Victor Schertzinger
357,357,Luther Reed
358,358, John Ford
359,359, Arch Heath
360,360,John G. Adolfi
361,361,H.P. Carver
362,362,Walter Jerven
363,363,Kenji Mizoguchi
364,364,LÃ©on Poirier
365,365, Georg Wilhelm Pabst
366,366, Malcolm St. Clair
367,367,Hanns Schwarz
368,368,Victor Heerman
369,369,Thornton Freeland
370,370, Ward Wing
371,371, Louis R. Loeffler
372,372,David Burton
373,373, Nick Grinde
374,374,Kenneth MacPherson
375,375,Charles Brabin
376,376,Al Christie
377,377,Melville W. Brown
378,378,Archie Mayo
379,379,Wilhelm Thiele
380,380,AndrÃ© Charlot
381,381, Jack Hulbert
382,382,Leslie Pearce
383,383,Lloyd Corrigan
384,384, Laurence Schwab
385,385,George Archainbaud
386,386,Ray Enright
387,387,Nick Grinde
388,388,Benjamin Stoloff
389,389,Howard Hughes
390,390, Edmund Goulding
391,391,Tay Garnett
392,392,Edward H. Griffith
393,393,Roy Pomeroy
394,394,James Whale
395,395,John Murray Anderson
396,396,Harry d'Abbadie d'Arrast
397,397,Leo McCarey
398,398,Otto Brower
399,399, Edwin H. Knopf
400,400, William Nigh
401,401,Lowell Sherman
402,402,George Abbott
403,403,Scott Pembroke
404,404, Michael Curtiz
405,405,Robert Milton
406,406, Ray Enright
407,407, Otto Brower
408,408,Victor Halperin
409,409, Porfiri Podobed
410,410,Augusto Genina
411,411,Edward Sloman
412,412, Lionel Barrymore
413,413, Hal Roach
414,414,Irene Starewicz
415,415, Wladyslaw Starewicz
416,416,George Cukor
417,417, Cyril Gardner
418,418,Jean Cocteau
419,419, Wesley Ruggles
420,420,Louis Wolheim
421,421, Sam Wood
422,422,Luis BuÃ1uel
423,423,Marion Gering
