,imdb_id,director_id
0,tt0000574,0
1,tt0003419,1
2,tt0003419,2
3,tt0003643,3
4,tt0003740,4
5,tt0004026,5
6,tt0004026,6
7,tt0004707,7
8,tt0004707,8
9,tt0004972,3
10,tt0006206,9
11,tt0006333,10
12,tt0006864,3
13,tt0008100,11
14,tt0008150,12
15,tt0008854,13
16,tt0009968,3
17,tt0010247,14
18,tt0010323,15
19,tt0010821,16
20,tt0011130,17
21,tt0011131,18
22,tt0011193,19
23,tt0011237,20
24,tt0011237,6
25,tt0011565,21
26,tt0011841,3
27,tt0011904,21
28,tt0012190,22
29,tt0012349,23
30,tt0012494,24
31,tt0012651,25
32,tt0013086,24
33,tt0013201,26
34,tt0013442,25
35,tt0013496,25
36,tt0014142,21
37,tt0014341,27
38,tt0014341,28
39,tt0014429,26
40,tt0014429,29
41,tt0014532,12
42,tt0014538,30
43,tt0014538,28
44,tt0014586,31
45,tt0014586,32
46,tt0014624,23
47,tt0014646,33
48,tt0014972,34
49,tt0015064,25
50,tt0015163,35
51,tt0015163,28
52,tt0015167,36
53,tt0015175,24
54,tt0015202,15
55,tt0015324,37
56,tt0015400,38
57,tt0015532,39
58,tt0015532,40
59,tt0015624,41
60,tt0015624,42
61,tt0015648,43
62,tt0015842,44
63,tt0015863,37
64,tt0015864,23
65,tt0015881,45
66,tt0016029,46
67,tt0016039,47
68,tt0016123,48
69,tt0016220,49
70,tt0016220,50
71,tt0016332,37
72,tt0016473,51
73,tt0016629,48
74,tt0016641,52
75,tt0016641,53
76,tt0016847,25
77,tt0017075,54
78,tt0017103,22
79,tt0017136,24
80,tt0017438,5
81,tt0017463,55
82,tt0017621,5
83,tt0017765,56
84,tt0017765,28
85,tt0017925,57
86,tt0017925,28
87,tt0018037,19
88,tt0018051,58
89,tt0018051,59
90,tt0018217,60
91,tt0018217,61
92,tt0018455,25
93,tt0018528,51
94,tt0018578,62
95,tt0018578,63
96,tt0018737,44
97,tt0018742,64
98,tt0018742,28
99,tt0018770,65
100,tt0018773,23
101,tt0018806,41
102,tt0018839,66
103,tt0019074,67
104,tt0019130,68
105,tt0019254,69
106,tt0019304,70
107,tt0019379,41
108,tt0019412,58
109,tt0019421,71
110,tt0019421,28
111,tt0019429,72
112,tt0019509,73
113,tt0019563,51
114,tt0019585,34
115,tt0019630,48
116,tt0019702,54
117,tt0019777,74
118,tt0019777,75
119,tt0019901,24
120,tt0019993,71
121,tt0019993,76
122,tt0020004,77
123,tt0020062,78
124,tt0020142,54
125,tt0020163,79
126,tt0020163,80
127,tt0020499,66
128,tt0020570,81
129,tt0020570,82
130,tt0020589,83
131,tt0020629,70
132,tt0020640,84
133,tt0020668,48
134,tt0020697,66
135,tt0020768,25
136,tt0020828,85
137,tt0020836,86
138,tt0020842,87
139,tt0020900,88
140,tt0020960,89
141,tt0020960,90
142,tt0021079,91
143,tt0021165,54
144,tt0021287,92
145,tt0021505,93
146,tt0021577,94
147,tt0021739,95
148,tt0021749,23
149,tt0021750,96
150,tt0021814,51
151,tt0021814,97
152,tt0021836,98
153,tt0021864,99
154,tt0021884,100
155,tt0022001,101
156,tt0022074,13
157,tt0022080,102
158,tt0022100,24
159,tt0022111,103
160,tt0022150,104
161,tt0022158,105
162,tt0022173,106
163,tt0022183,107
164,tt0022183,108
165,tt0022236,62
166,tt0022268,109
167,tt0022286,62
168,tt0022357,110
169,tt0022403,111
170,tt0022458,25
171,tt0022599,104
172,tt0022626,109
173,tt0022626,112
174,tt0022660,113
175,tt0022663,114
176,tt0022698,66
177,tt0022700,92
178,tt0022787,115
179,tt0022827,116
180,tt0022835,96
181,tt0022869,117
182,tt0022879,72
183,tt0022913,51
184,tt0022958,92
185,tt0023002,44
186,tt0023027,105
187,tt0023042,91
188,tt0023104,118
189,tt0023158,96
190,tt0023194,113
191,tt0023194,119
192,tt0023238,120
193,tt0023238,121
194,tt0023243,122
195,tt0023245,123
196,tt0023249,74
197,tt0023285,54
198,tt0023293,100
199,tt0023305,124
200,tt0023335,125
201,tt0023427,126
202,tt0023427,127
203,tt0023458,66
