,id,logo_path,name,origin_country
0,2303,,Villealfa Filmproductions,FI
1,14,/m6AHu84oZQxvq7n1rsvMNJIAsMu.png,Miramax,US
2,59,/yH7OMeSxhfP0AVM6iT0rsF3F4ZC.png,A Band Apart,US
3,33,/8lvHyhjr8oUKOOy2dKXoALWKdp0.png,Universal Pictures,US
4,1644,,Largo Entertainment,US
5,182,,JVC,JP
6,1,/o86DbpburjxrqAzEDhXZcyE8pDb.png,Lucasfilm Ltd.,US
7,25,/qZCc1lty5FzX30aOCVRBLzaVmcp.png,20th Century Fox,US
8,3,/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png,Pixar,US
9,4,/fycMZt242LVjagMByZOLUGbCvv3.png,Paramount,US
10,2721,,Jinks/Cohen Company,
11,7,/vru2SssLX3FPhnKZGtYw00pVIS9.png,DreamWorks Pictures,US
12,6,/n53F7K9scQWFXYbrCablqLKqJdp.png,RKO Radio Pictures,US
13,11447,,Mercury Productions,
14,53671,,Lantia Cinema & Audiovisivi,
15,8,/78ilmDNTpdCfsakrsLqmAUkFTrO.png,Fine Line Features,
16,76,,Zentropa Entertainments,DK
17,119,/1di2gITGUZr730AMuMKiCrP90Vl.png,Danmarks Radio (DR),DK
18,157,,SVT Drama,
19,201,/6UIpEURdjnmcJPwgTDRzVRuwADr.png,ARTE,FR
20,321,/pfp6VWF3tYfOHHVRHpYe2iGcYrf.png,Memfis Film,SE
21,591,/q5I5RDwMEiqoNmfaJgd2LraEOJY.png,France 3 Cinéma,FR
22,2996,,Angel films,
23,5755,,Constantin Film,DE
24,5975,/vvjgoKygWWYZvYyidT3RmOCq5If.png,YLE,FI
25,7330,,Blind Spot Pictures,FI
26,8659,/96hCWEsfmTZQsoUap0CcG21qaA.png,VPRO,NL
27,11239,,Liberator Productions,FR
28,14937,,Icelandic Film,IS
29,30268,,Pain Unlimited GmbH Filmproduktion,
30,53667,,Trust Film Svenska,
31,53668,,Cinematograph A/S,
32,53669,,What Else? B.V,
33,53670,,Filmek A/S,
34,6705,/e8EXNSfwr5E9d3TR8dHKbQnQK4W.png,Film4 Productions,GB
35,104,/9aotxauvc9685tq9pTcRJszuT06.png,Canal+,FR
36,94,/huC7HqorvUThGIrENrbcHmQVUA0.png,ARTE France Cinéma,FR
37,2801,/bswb1PLLsKDUXMLgy42bZtCtIde.png,Film i Väst,SE
38,447,,TV 1000 Sverige,SE
39,46,/3xFdKHLXPGHEbrAkmsepGE8974Y.png,Westdeutscher Rundfunk,DE
40,47,/i7Z9ot2o3N5Sa3HrF09kniFs2y8.png,Constantin Film,DE
41,248,,Impact Pictures,CA
42,2268,/wgDks2qYgwN6u1OkW1bBre0rf4F.png,Isle of Man Film,GB
43,2452,/6CLoZ59fLPG7UyxQtGTqRevjf58.png,UK Film Council,GB
44,9,/nda3dTUYdDrJ6rZqBpYvY865aDv.png,Gaumont,FR
45,12372,,Universum Film (UFA),DE
46,49,/xpf5iHdvvBtsH8jBMlgIJHAET0c.png,El Deseo,ES
47,77,,Milestone Productions,
48,2,/wdrCwmRnLFJhEoH8GSfymY85KHT.png,Walt Disney Pictures,US
49,130,/c9dVHPOL3cqCr2593Ahk0nEKTEM.png,Jerry Bruckheimer Films,US
50,39121,,Super Cool ManChu,
51,14440,,Red Wagon Entertainment,US
52,1522,/8uaoEVgNxFH0R94O53gUiByahVr.png,Neal Street Productions,GB
53,19934,,Motion Picture KAPPA Produktionsgesellschaft,
54,15,/2GukAxjXAF3Qf4GosI6WzIgljL3.png,Lama Films,PS
55,16,/7690NQfOfnbvrY3vFgyMO2Pc8WS.png,United King Films,IL
56,163,,Revolution Films,GB
57,60,/oJXpAs4I3W46e4dkaOEzCa4yBko.png,United Artists,US
58,70,/ueaENQkPcy8rlr5fGZVBXKOhlBh.png,American Zoetrope,US
59,11671,/iRdYQdn1eunwV3qAs6RK5Mqwn8Z.png,Studio 4°C,JP
60,174,/ky0xOc5OrhzkZ1N6KyUxacfQsCk.png,Warner Bros. Pictures,US
61,171,,Malpaso Productions,US
62,80853,,AKOM Production Company,
63,18,/uqhagSwM7NAkQWVCQhKTyoqF8XH.png,Gracie Films,US
64,96084,,Rough Draft Feature Animation,
65,19,/2XbFiOpwgdG1P1wKLqfk2kvcTdE.png,Film Roman,US
66,11749,/5AzTeZkSCFhiGZ86g2nz8SAHtgy.png,20th Century Fox Animation,US
67,29500,/a3ltwX7b1opYeG7MxaxxswDmkeg.png,The Curiosity Company,US
68,10146,/xnFIOeq5cKw09kCWqV7foWDe4AA.png,Focus Features,US
69,10039,/b8w4LldQolMKiLZw4FQJBcXSDGI.png,Anonymous Content,US
70,10059,,This Is That Productions,
71,5084,,Altavista Films,
72,110056,,Zeta Film (MX),
73,19936,,Second Mate Productions,US
74,12,/iaYpEp3LQmb8AfAtmTvpqd4149c.png,New Line Cinema,US
75,6363,,BenderSpink,
76,429,/2Tc1P3Ac8M479naPp1kYT3izLS5.png,DC Comics,US
77,385,,Stanley Kubrick Productions,GB
78,21,/aOWKh4gkNrfFZ3Ep7n0ckPhoGb5.png,Metro-Goldwyn-Mayer,US
79,507,/z7H707qUWigbjHnJDMfj6QITEpb.png,Atlas Entertainment,US
80,17031,,Classico,
81,357,,Vía Digital,ES
82,10565,,Good Machine,US
83,29566,/wHbtRtUnXGNzX0riQIpq1fcgueq.png,Atresmedia,ES
84,24,,Mikona Productions GmbH & Co. KG,DE
85,23,/mkxNjThahj5pvntvYKVpMbWXm3D.png,Imagine Entertainment,US
86,5,/71BqEFAF4V3qjjMPCpLuyJFB9A.png,Columbia Pictures,US
87,97,/7znWcbDd4PcJzJUlJxYqAlPPykp.png,Castle Rock Entertainment,US
88,850,/aF7qajGJGtMpdrtvssM9g90YanX.png,Eurimages,FR
89,89,,Augustus Film,
90,91,,Lama Productions,
91,93,,Lumer Films,
92,95,,Hazazah Film,
93,315,/hdu0sVxgtCuQud0xF8ZBiN7hEhY.png,Filmstiftung Nordrhein-Westfalen,DE
94,703,/lMV4teVPQWJxIaiDsAsU7Vdh1iC.png,Razor Film Produktion,DE
95,4508,/sUq2S2ndKxp1B2NjbMJbSNlPI8V.png,Nederlands Fonds voor de Film,NL
96,451,/g1GRk1SdwxNwg5J3aXtrqTaXo8k.png,Medienboard Berlin-Brandenburg,DE
97,10214,,Embassy International Pictures,US
98,6402,,Mars Media Beteiligungs,
99,84,,Tree Line Films,
100,85,,Konrad Pictures,
101,86,,Catfish Productions,
102,711,/tEiIH5QesdheJmDAqQwvtN60727.png,Fox 2000 Pictures,US
103,126,/kADPanRDkKTxncPXXVahvHPUvCj.png,Lakeshore Entertainment,US
104,1171,,Epsilon Motion Pictures,CH
105,16311,,Albert S. Ruddy Productions,
106,694,/5LEHONGkZBIoWvp1ygHOF8iyi1M.png,StudioCanal,FR
107,288,/wdmwQuV4R1MIr8A78izZkC184uC.png,BBC Films,GB
108,686,/qMVjV8YFbxXrGVF4wD6hRjllVbr.png,Tiger Aspect Productions,GB
109,718,,Arts Council of England,GB
110,10163,/16KWBMmfPX0aJzDExDrPxSLj0Pg.png,Working Title Films,GB
111,10462,,WT2 Productions,
112,11308,,Savoy Pictures,
113,924,,The Turman-Morrissey Company,
114,56,/cEaxANEisCqeEoRvODv2dO1I0iI.png,Amblin Entertainment,US
115,44,,Cruise/Wagner Productions,
116,8601,,Tim Burton Productions,
117,104576,/sNhEzePPkxW3AKqr3l0h7I1k0hR.png,Filmhaus Films,AT
118,11510,/gg3gP2wHNNfOfLKdXGjYC9qJ9ok.png,Detour Filmproduction,US
119,491,/rUp0lLKa1pr4UsPm8fgzmnNGxtq.png,Summit Entertainment,US
120,506,,Newmarket Capital Group,US
121,598,,Team Todd,
122,34446,,I Remember Productions,
123,5798,/tmuI9BGXgpWLmokhlxpnG3IGNQB.png,Shaw Brothers,HK
124,7965,,The Ladd Company,US
125,724,,Beijing New Picture Film Co. Ltd.,
126,2269,,China Film Co-Production Corporation,
127,11509,,Warner Independent Pictures (WIP),US
128,29,/2ZGkaLO1oVR39zxtQca8iDaU7fR.png,Topcraft,JP
129,52846,/w2nzPUUGenayZtb3stEdfpOdz2s.png,Metropolis Films,UY
130,675,,Forward Pass,US
131,52844,,Motion Picture ETA Produktionsgesellschaft,
132,52845,/56uEMEnS7pTNu5LuUYd4KNzgu5.png,Foqus Arte Digital,PY
133,65822,,Michael Mann Productions,
134,22376,,Plunge Pictures LLC,
135,74,/v8CBkNxdmHbQc9JpnaEfHGBMXco.png,MOOVIE GmbH,DE
136,75,,Medienfonds German Film Productions GmbH & Co. KG,
137,137,,Great American Films Limited Partnership,
138,12360,,Vestron Pictures,
139,30,,Eddie Murphy Productions,US
140,10288,,Don Simpson/Jerry Bruckheimer Films,US
141,9195,/ou5BUbtulr6tIt699q6xJiEQTR9.png,Touchstone Pictures,US
142,11533,/tWM9pmzVYxok4GbQIttxdcml1yT.png,Valhalla Motion Pictures,US
143,558,,Lisberger/Kushner,
144,3166,/vyyv4Gy9nPqAZKElPm2izLlEaVS.png,Walt Disney Productions,US
145,1645,/6Ry6uNBaa0IbbSs1XYIgX5DkA9r.png,Scott Free Productions,GB
146,21904,,Mill Film,GB
147,21905,,C & L,MT
148,21906,,Dawliz,MA
149,82,,Renn Productions,
150,83,/9OQ0rm55xtlgX7KcAKMUePJSrQc.png,France 2 Cinéma,FR
151,21920,,The Steve Tisch Company,
152,13419,,SKA Films,
153,1382,/sOg7LGESPH5vCTOIdbMhLuypoLL.png,PolyGram Filmed Entertainment,US
154,20076,/i9qXGJIP9fGN22PP5jXUVENbyHi.png,HandMade Films,GB
155,66743,,Les Films du Dauphin,FR
156,118,/AiBorgNTCS1lT1FdFPYheax9jfF.png,Det Danske Filminstitut,DK
157,46059,,Italo/Judeo Productions,
158,46060,,Bill/Phillips,
159,96,/9ps82gVzUeNdkjmLzoGDQLiLDio.png,X Filme Creative Pool,DE
160,342,,Davis Films,FR
161,1885,/xlvoOZr4s1PygosrwZyolIFe5xs.png,Silver Pictures,US
162,840,,Lawrence Gordon Productions,
163,5263,,Amercent Films,
164,5264,,American Entertainment Partners L.P.,
165,3287,/bz6GbCQQXGNE56LTW9dwgksW0Iw.png,Screen Gems,US
166,1610,,CED Productions,
167,183,,Le Studio Canal+,FR
168,38,/qMi10Y3HnR7BQRqMC4ch7qZ6HN4.png,Zespół Filmowy TOR,PL
169,1245,/suKdkPTtHn0DzGYmrXCA506dJON.png,TSR,CH
170,139,,LJ Film,KR
171,11554,,Korea Pictures,KR
172,685,,Cineclick Asia,KR
173,11555,,Cinesoul,
174,11556,,Mirae Asset Capital,
175,11557,,Muhan Investment,
176,140,/3ngKBDqmPOjNCccrtyjZWhPsLFa.png,Pandora Film,DE
177,10282,,Silver Screen Partners IV,US
178,37,/nlG4JEjJ7SAFDehgIVvHFBPW23y.png,Gramercy Pictures,US
179,79,/tpFpsqbleCzEE2p5EgvUq6ozfCA.png,Village Roadshow Pictures,US
180,80,,The Zanuck Company,US
181,55512,,Theobald Film Productions,
182,81,/8wOfUhA7vwU2gbPjQy7Vv3EiF0o.png,Plan B Entertainment,US
183,11,/6FAuASQHybRkZUk08p9PzSs9ezM.png,WingNut Films,NZ
184,5237,,The Saul Zaentz Company,US
185,286,,Fantasy Films,
186,4921,,Bakshi Productions,
187,141322,,Saul Zaentz Film Productions,
188,1587,,P.P. Film Polski,PL
189,73037,,Studio Filmowe Tor,PL
190,10342,/eS79pslnoKbWg7t3PMA9ayl0bGs.png,Studio Ghibli,JP
191,12516,,Nibariki,JP
192,2752,,DENTSU Music And Entertainment,JP
193,67681,,TNDG,
194,1779,,Tokuma Shoten,JP
195,6755,/bWiM2iY82B32NGmPCOFatgfekIR.png,Nippon Television Network Corporation,JP
196,2092,,Mike Zoss Productions,US
197,155,/cDY49SOQwJixJSMun9Haerx8dAQ.png,Nimbus Film,DK
198,9335,,Canal+ España,ES
199,981,/pkrdO9ykplO4Zc8edikoSX5APUN.png,TVE,ES
200,19813,,Flower Films,US
201,5367,,Gaylord Films,
202,3334,,Adam Fields Productions,
203,1246,/lmeFQGzHEds5t2UfmODyrbf2nXm.png,River Road Entertainment,US
204,3997,,Alberta Film Entertainment,
205,6116,,Argos Films,FR
206,8366,,Road Movies Filmproduktion,DE
207,36229,,Wim Wenders Stiftung,DE
208,1251,/ucgmv8vBIA3Tr2VbqQ1NKYgkTsN.png,ARD,DE
209,123,,Trust Film,
210,2798,,Columbia Pictures Film Production Asia,
211,12205,,EDKO Film,
212,20289,,Asia Union Film & Entertainment Ltd.,
213,20290,,United China Vision,
214,20291,,Zoom Hunt International Productions Company Ltd.,
215,53,/3cWJikm9MdWCMKdatuk8gDTa5xy.png,Les Films du Carrosse,FR
216,10897,,Sédif Productions,FR
217,78,/ngEvKlaMsDQBlbK7eDZ6RncCErb.png,Hotshot Films,RU
218,10920,,Akira Committee Company Ltd.,
219,3363,,Mainichi Broadcasting System (MBS),
220,10921,/mILVV3xSs3BOkXy85l1pXakLoKk.png,Sumitomo Corporation,JP
221,882,/fRSWWjquvzcHjACbtF53utZFIll.png,"Toho Company, Ltd.",JP
222,104680,,Studio Fuga,JP
223,5805,/jiTDwr7CelkRTSJt8or6WipN75c.png,Studio Aoi,JP
224,7164,/vHsaqTkQ2ZTbdqrCA272YahoVlg.png,TMS Entertainment,JP
225,59118,/3KwKCviJ67dCm7m740cdaLt1VS8.png,Kodansha,JP
226,120107,,Bandai Entertainment Inc.,
227,1780,/2KJ1cSBOGABQotDWSRPNY4C9amg.png,Tohokushinsha Film Corporation,JP
228,113241,/5VTEPsdFToSv89HyCtUTAElsnQk.png,Elemental Films,GB
229,923,/5UQsZrfbfG2dYJbx8DxfoTr2Bvu.png,Legendary Pictures,US
230,9996,/3tvBqYsBhxWeHlu62SIJ1el93O7.png,Syncopy,GB
231,118865,,Isobel Griffiths,GB
232,9993,/2Tc1P3Ac8M479naPp1kYT3izLS5.png,DC Entertainment,US
233,223,/b9Icqi8qGm7gJ6jVs8bauUo5N5Q.png,Les Films du Losange,FR
234,235,/obOynoztBEhDNfHsDXBqOuQLAZk.png,Nordisk Film,DK
235,698,,Scottish Screen,
236,758,/fft3jrctrZNcgAxgN1w5Givtzip.png,TV 2,DK
237,980,,The Glasgow Film Fund,
238,99,,Olga-Film GmbH (München),
239,172,,NPV Entertainment,US
240,2596,,Jerry Weintraub Productions,US
241,129,,Section Eight,US
242,12202,,WV Films III,
243,11355,,Jurow-Shepherd,
244,20448,,U-Drive Productions,US
245,28766,,Productions Marcel Dassault,FR
246,7961,,Gaumont International,FR
247,763,,Intermedia Films,
248,1178,,Pathé Pictures International,GB
249,19116,,IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,DE
250,1302,/kQZtJdyphCmq292iGDqlUx0yk2D.png,Davis Entertainment,US
251,284,,DNA Films,GB
252,2061,/o9LbN33hRaj4qcebUv1bikyXeoB.png,Twisted Pictures,US
253,23019,,Evolution Entertainment,
254,55405,,Saw Productions Inc.,
255,1632,/cisLn1YAUuptXVBa0xjq7ST9cH0.png,Lionsgate,US
256,559,/eC0bWHVjnjUducyA6YFoEFqnPMC.png,TriStar Pictures,US
257,2231,/zJBTkTxy0UiQETGRynEqxiFbmL8.png,Trilogy Entertainment Group,US
258,932,,Mirage Enterprises,US
259,11581,/6K0xgnlb35PU31T2IH3deVGvTlX.png,Misher Films,US
260,20194,,Motion Picture JOTA Produktions,
261,76068,,Digital Image Associates,
262,766,,Blue Tulip Productions,
263,26265,,Ronald Shusett/Gary Goldman,
264,70319,,Sunset Gower Studios,
265,275,/2MxNWlN5b3UXt1OfmznsWEQzFwq.png,Carolco Pictures,US
266,20986,,Finnegan/Pinchuk Productions,
267,112267,,Pipeline Productions,
268,2253,,Lawrence Bender Productions,US
269,114715,,Mighty Mighty Afrodite Productions,
270,88,,Hawk Films,
271,308,/e8F3mQM7DkJ5SfYYDp8FYzPBOGX.png,The Weinstein Company,US
272,816,,FilmEngine,
273,826,,Capitol Films,GB
274,1204,,Ascendant Pictures,US
275,2116,,VIP Medienfonds 4,
276,123780,,Lucky Number Slevin Productions Inc.,
277,54502,,Mel's Cite du Cinema,
278,123781,,The Complex,
279,7405,/rfnws0uY8rsNAsrLbx3gEIcYXx3.png,Dimension Films,US
280,10807,/j0BcMaJKIiDDYHq9lriTcM0Npka.png,Troublemaker Studios,US
281,41658,,Residaco,
282,11006,,Aldamisa Entertainment,
283,13241,,Demarest Films,
284,29076,,Solipsist Film,
285,11005,,AR Films,
286,138,,Schramm Film,DE
287,45693,,Cristaldifilm,
288,7110,,Les Films Ariane,FR
289,4606,/otZHbf1HmzLRQsZFSqJXkf8EHz7.png,ZDF,DE
290,1583,/gKP4egMJOi5rksdnplfPV1wa0sd.png,RAI,IT
291,592,,Claudie Ossard Productions,
292,4411,,MMC Independent,
293,12000,,Tapioca Films,
294,23446,,Sofica Sofinergie 5,
295,25020,,Victoires Productions,
296,7248,,Union Générale Cinématographique (UGC),FR
297,4564,,Icon Entertainment International,GB
298,11353,,B.H. Finance C.V.,
299,120,,Scorsese Productions,
300,11788,,Compagnie Industrielle et Commerciale Cinématographique (CICC),
301,141,,Véra Films,FR
302,144,,Fono Roma,
303,534,,Filmsonor,FR
304,7495,,Sixth Sense Productions,
305,35,/wxrHa3nZ1K4zo65p56991INkGo6.png,Lions Gate Films,US
306,564,,Industrial Development Corporation of South Africa,
307,2760,,Miracle Pictures,
308,19834,,Inside Track Films,
309,11912,,Mikado Film,IT
310,1205,,Endgame Entertainment,US
311,402,,Luna Filmproduktion,
312,104564,,Deutsche Film- und Fernsehakademie Berlin GmbH (DFFB),DE
313,269,,Filmboard Berlin-Brandenburg (FBB),DE
314,85146,/2eG5vjJHl7woTbaqjVuWHcNHtGU.png,Ostdeutscher Rundfunk Brandenburg,DE
315,1053,,Got Films,
316,64651,,Saw 2 Productions,
317,11626,,Tango Film,DE
318,10869,,Filmverlag der Autoren,DE
319,862,/udTjbqPmcTbfrihMuLtLcizDEM1.png,The Kennedy/Marshall Company,US
320,41,/AuAIlCWBrbhbUFFrJ6M9E3ihBoj.png,Orion Pictures,US
321,1280,,Pacific Western,US
322,3952,,Hemdale Film,
323,4764,,Cinema 84,
324,7745,,Euro Film Funding,
325,1553,,Selznick International Pictures,US
326,6804,,"Zespól Filmowy ""X""",
327,52,,Film Polski Film Agency,
328,12838,,Film Polski,PL
329,307,/gUi3pAUznQJpR296lw4mSVbB7zx.png,IFC Films,US
330,43,/4RgIPr55kBakgupWkzdDxqXJEqr.png,Fox Searchlight Pictures,US
331,54,/bMe9KX1Wtd7HY0yD14TR5a6fEbM.png,The Independent Film Channel Productions,US
332,1422,/aG7LGucYWmsrsEwnDN1HnUGfVmK.png,Killer Films,US
333,11351,,Hart-Sharp Entertainment,
334,6735,/6yyByQrmTAgJv0QzZ1Eh1jiGX4R.png,Participant Media,US
335,20665,,4M,
336,7786,,FilmWorks,
337,20666,,MID Foundation,
338,14150,,Orion Pictures Corporation,
339,14772,,Warner Bros. Home Entertainment Group,
340,55,,Decla Film Gesellschaft Holz & Co.,
341,56485,/t0M92JDUfcICcOB46NHxEOhK1FS.png,Act III Productions,US
342,105,/pyiNvPJYGz4W2SImgULoG2sn4y4.png,CiBy 2000,FR
343,11840,/8oyCRYf6ezxB5h8HJIPVG8JjzgL.png,Film Victoria,AU
344,39250,,House & Moorhouse Films,
345,11561,/8HB3TFUeo83keAPHfFfrNtN2MmA.png,Recorded Picture Company,GB
346,10211,,Alfran Productions,US
347,219,,The Mirisch Company,US
348,11982,,Ashton Productions,
349,536,,The Coppola Company,US
350,68551,,J D Productions,
351,508,/7PzJdsLGlR7oW4J0J5Xcd0pHGRg.png,Regency Enterprises,US
352,644,,Alcor Films,
353,4198,,Ixtlan,
354,10104,/hNuGhsKVlmhnwSRcmOejDBDjh6w.png,New Regency Pictures,US
355,32,,Buena Vista Pictures,
356,567,,Office Kitano,JP
357,568,,Saito Entertainment,
358,569,,Tokyo FM Broadcasting Company,
